country,iso_code,population,generation_twh,solar_share,wind_share,solar_wind_share,fossil_share,low_carbon_share,carbon_intensity_gco2_kwh,demand_per_capita_kwh
Niger,NER,27032417,0.95,3.16,0.0,3.16,96.84,3.16,673.68,79.53
Nigeria,NGA,232679482,37.56,0.35,0.0,0.35,75.0,25.0,495.74,151.54
North Korea,PRK,26498832,27.1,0.63,0.0,0.63,36.64,63.36,340.59,1022.69
North Macedonia,MKD,1823011,6.31,14.11,2.69,16.8,60.54,39.46,510.3,3850.77
Norway,NOR,5576656,157.11,0.34,9.29,9.63,1.39,98.61,29.66,24866.16
Oman,OMN,5281542,49.1,4.68,0.2,4.89,95.11,4.89,542.77,9296.53
Pakistan,PAK,251269160,174.96,11.33,2.95,14.28,49.73,50.27,373.69,698.22
Palestine,PSE,5495447,0.99,39.39,0.0,39.39,60.61,39.39,414.14,1453.93
Panama,PAN,4515576,13.43,7.37,7.15,14.52,32.02,67.98,221.15,2943.15
Papua New Guinea,PNG,10576509,4.73,0.21,0.0,0.21,76.32,23.68,513.74,447.22
Paraguay,PRY,6929152,42.41,0.0,0.0,0,0.0,100.0,24.76,3811.43
Peru,PER,34217850,59.29,1.6,3.52,5.13,39.89,60.11,258.73,1733.6
Philippines,PHL,115843663,124.17,1.68,1.21,2.88,79.53,20.47,621.73,1071.88
Poland,POL,38539209,172.12,10.26,15.04,25.3,68.85,31.15,608.18,4517.22
Portugal,PRT,10425291,47.27,15.0,30.34,45.34,14.81,85.19,110.64,5538.45
Puerto Rico,PRI,3242212,20.0,4.8,0.9,5.7,94.0,6.0,656.0,6168.63
Qatar,QAT,3048429,56.68,3.79,0.0,3.79,95.98,4.02,581.69,18593.18
Romania,ROU,19015096,52.72,6.49,12.2,18.68,32.8,67.2,251.33,2928.2
Russia,RUS,144820421,1209.31,0.24,0.38,0.62,64.06,35.94,445.98,8237.17
Rwanda,RWA,14256573,1.13,3.54,0.0,3.54,50.44,49.56,353.98,85.58
Saint Kitts and Nevis,KNA,46867,0.23,4.35,4.35,8.7,91.3,8.7,608.7,4907.5
Saint Lucia,LCA,179751,0.4,2.5,0.0,2.5,97.5,2.5,650.0,2225.3
